"Patient_ID","ASAH1_TPM","ASAH1_Group"
"TCGA-AA-3531",20.6143,"Low"
"TCGA-AA-3532",24.4544,"Low"
"TCGA-AA-3534",48.7564,"High"
"TCGA-AA-3538",22.4516,"Low"
"TCGA-AA-3542",8.3404,"Low"
"TCGA-AA-3543",24.5203,"Low"
"TCGA-AA-3544",18.4769,"Low"
"TCGA-AA-3548",14.6469,"Low"
"TCGA-AA-3549",14.5229,"Low"
"TCGA-AA-3552",15.2332,"Low"
"TCGA-AA-3553",20.2723,"Low"
"TCGA-AA-3554",36.2403,"High"
"TCGA-AA-3555",57.4303,"High"
"TCGA-AA-3556",29.3057,"High"
"TCGA-AA-3560",12.8024,"Low"
"TCGA-AA-3561",32.6663,"High"
"TCGA-AA-3562",16.495,"Low"
"TCGA-AA-3655",37.7687,"High"
"TCGA-AA-3660",18.7045,"Low"
"TCGA-AA-3662",20.4989,"Low"
"TCGA-AA-3663",74.5374,"High"
"TCGA-AA-3664",16.2368,"Low"
"TCGA-AA-3666",18.792,"Low"
"TCGA-AA-3667",17.3842,"Low"
"TCGA-AA-3672",24.8308,"Low"
"TCGA-AA-3673",52.6689,"High"
"TCGA-AA-3675",35.0176,"High"
"TCGA-AA-3678",21.8826,"Low"
"TCGA-AA-3679",16.6812,"Low"
"TCGA-AA-3680",27.3317,"High"
"TCGA-AA-3681",16.0321,"Low"
"TCGA-AA-3684",32.1874,"High"
"TCGA-AA-3685",16.8687,"Low"
"TCGA-AA-3688",22.2552,"Low"
"TCGA-AA-3692",24.0215,"Low"
"TCGA-AA-3693",38.5045,"High"
"TCGA-AA-3695",25.7622,"Low"
"TCGA-AA-3696",29.9407,"High"
"TCGA-AA-3697",22.7232,"Low"
"TCGA-AA-3710",45.7732,"High"
"TCGA-AA-3712",39.7582,"High"
"TCGA-AA-3713",36.1284,"High"
"TCGA-AA-3715",37.8402,"High"
"TCGA-AA-3811",29.0758,"High"
"TCGA-AA-3812",32.9118,"High"
"TCGA-AA-3814",35.5915,"High"
"TCGA-AA-3815",29.5043,"High"
"TCGA-AA-3818",35.6732,"High"
"TCGA-AA-3819",26.4408,"High"
"TCGA-AA-3821",41.6626,"High"
"TCGA-AA-3831",29.4113,"High"
"TCGA-AA-3833",24.784,"Low"
"TCGA-AA-3837",29.5405,"High"
"TCGA-AA-3841",26.2895,"High"
"TCGA-AA-3842",23.3822,"Low"
"TCGA-AA-3844",28.3109,"High"
"TCGA-AA-3845",35.559,"High"
"TCGA-AA-3846",43.2219,"High"
"TCGA-AA-3848",11.4933,"Low"
"TCGA-AA-3850",22.8275,"Low"
"TCGA-AA-3851",23.0937,"Low"
"TCGA-AA-3852",32.8888,"High"
"TCGA-AA-3854",29.036,"High"
"TCGA-AA-3855",26.869,"High"
"TCGA-AA-3856",29.2892,"High"
"TCGA-AA-3858",23.2815,"Low"
"TCGA-AA-3860",21.9383,"Low"
"TCGA-AA-3861",43.6676,"High"
"TCGA-AA-3862",20.031,"Low"
"TCGA-AA-3864",50.3669,"High"
"TCGA-AA-3866",41.1775,"High"
"TCGA-AA-3867",20.6399,"Low"
"TCGA-AA-3869",34.6401,"High"
"TCGA-AA-3870",21.1986,"Low"
"TCGA-AA-3872",28.2144,"High"
"TCGA-AA-3875",38.5311,"High"
"TCGA-AA-3877",38.589,"High"
"TCGA-AA-3930",23.453,"Low"
"TCGA-AA-3939",45.9603,"High"
"TCGA-AA-3941",35.474,"High"
"TCGA-AA-3947",64.7791,"High"
"TCGA-AA-3949",45.5683,"High"
"TCGA-AA-3950",63.6826,"High"
"TCGA-AA-3952",16.3071,"Low"
"TCGA-AA-3955",32.3356,"High"
"TCGA-AA-3956",26.8006,"High"
"TCGA-AA-3966",38.6595,"High"
"TCGA-AA-3968",32.1245,"High"
"TCGA-AA-3970",30.3504,"High"
"TCGA-AA-3971",25.7923,"Low"
"TCGA-AA-3972",39.5365,"High"
"TCGA-AA-3973",40.7178,"High"
"TCGA-AA-3975",17.4148,"Low"
"TCGA-AA-3976",22.0157,"Low"
"TCGA-AA-3977",48.2275,"High"
"TCGA-AA-3979",21.8886,"Low"
"TCGA-AA-3980",25.6657,"Low"
"TCGA-AA-3982",28.9564,"High"
"TCGA-AA-3984",20.1975,"Low"
"TCGA-AA-3986",24.146,"Low"
"TCGA-AA-3989",21.8828,"Low"
"TCGA-AA-3994",30.7146,"High"
"TCGA-AA-A004",10.7897,"Low"
"TCGA-AA-A00A",34.5703,"High"
"TCGA-AA-A00D",23.053,"Low"
"TCGA-AA-A00E",32.747,"High"
"TCGA-AA-A00F",10.0675,"Low"
"TCGA-AA-A00J",40.4336,"High"
"TCGA-AA-A00K",25.3793,"Low"
"TCGA-AA-A00L",15.403,"Low"
"TCGA-AA-A00N",26.1356,"High"
"TCGA-AA-A00O",51.7085,"High"
"TCGA-AA-A00Q",29.9494,"High"
"TCGA-AA-A00R",24.2667,"Low"
"TCGA-AA-A00U",9.7146,"Low"
"TCGA-AA-A00W",35.1703,"High"
"TCGA-AA-A00Z",31.548,"High"
"TCGA-AA-A010",26.9783,"High"
"TCGA-AA-A017",10.9728,"Low"
"TCGA-AA-A01C",15.4735,"Low"
"TCGA-AA-A01D",36.8085,"High"
"TCGA-AA-A01F",20.0665,"Low"
"TCGA-AA-A01G",13.8966,"Low"
"TCGA-AA-A01I",31.9985,"High"
"TCGA-AA-A01K",16.8314,"Low"
"TCGA-AA-A01P",29.0797,"High"
"TCGA-AA-A01Q",16.862,"Low"
"TCGA-AA-A01R",20.2227,"Low"
"TCGA-AA-A01S",13.1959,"Low"
"TCGA-AA-A01T",5.131,"Low"
"TCGA-AA-A01V",18.0316,"Low"
"TCGA-AA-A01X",31.0369,"High"
"TCGA-AA-A01Z",8.7458,"Low"
"TCGA-AA-A022",20.4495,"Low"
"TCGA-AA-A024",28.617,"High"
"TCGA-AA-A029",28.5365,"High"
"TCGA-AA-A02E",21.2226,"Low"
"TCGA-AA-A02F",17.0602,"Low"
"TCGA-AA-A02H",24.0717,"Low"
"TCGA-AA-A02J",12.1928,"Low"
"TCGA-AA-A02K",8.5774,"Low"
"TCGA-AA-A02O",22.7907,"Low"
"TCGA-AA-A02R",37.5133,"High"
"TCGA-AA-A02W",14.8099,"Low"
"TCGA-AA-A02Y",25.7641,"Low"
"TCGA-AA-A03F",8.7653,"Low"
"TCGA-AA-A03J",10.43,"Low"
"TCGA-AD-5900",44.0537,"High"
"TCGA-AD-6548",33.0137,"High"
"TCGA-AD-6888",21.0712,"Low"
"TCGA-AD-6889",29.1199,"High"
"TCGA-AD-6890",21.2449,"Low"
"TCGA-AD-6895",24.5319,"Low"
"TCGA-AD-6899",28.8566,"High"
"TCGA-AD-6901",21.141,"Low"
"TCGA-AD-6963",32.4015,"High"
"TCGA-AD-6964",50.2076,"High"
"TCGA-AD-6965",14.5709,"Low"
"TCGA-AD-A5EJ",28.6837,"High"
"TCGA-AD-A5EK",36.7209,"High"
"TCGA-AF-2687",46.8235,"High"
"TCGA-AF-2690",40.3716,"High"
"TCGA-AF-2691",27.9797,"High"
"TCGA-AF-2692",20.3928,"Low"
"TCGA-AF-2693",22.1779,"Low"
"TCGA-AF-3400",38.0123,"High"
"TCGA-AF-3911",17.4501,"Low"
"TCGA-AF-3913",13.5775,"Low"
"TCGA-AF-4110",28.5611,"High"
"TCGA-AF-5654",31.5944,"High"
"TCGA-AF-6136",27.3063,"High"
"TCGA-AF-6655",20.6278,"Low"
"TCGA-AF-6672",12.6824,"Low"
"TCGA-AF-A56K",22.0549,"Low"
"TCGA-AF-A56L",14.6989,"Low"
"TCGA-AF-A56N",31.2028,"High"
"TCGA-AG-3574",35.8432,"High"
"TCGA-AG-3575",39.6953,"High"
"TCGA-AG-3578",22.9571,"Low"
"TCGA-AG-3580",31.1412,"High"
"TCGA-AG-3581",25.8254,"Low"
"TCGA-AG-3582",13.3219,"Low"
"TCGA-AG-3583",20.2564,"Low"
"TCGA-AG-3584",18.2739,"Low"
"TCGA-AG-3586",19.7285,"Low"
"TCGA-AG-3587",15.5806,"Low"
"TCGA-AG-3591",24.9572,"Low"
"TCGA-AG-3592",12.1689,"Low"
"TCGA-AG-3593",22.0409,"Low"
"TCGA-AG-3594",21.1576,"Low"
"TCGA-AG-3598",28.0867,"High"
"TCGA-AG-3599",31.9676,"High"
"TCGA-AG-3600",27.1127,"High"
"TCGA-AG-3601",20.1645,"Low"
"TCGA-AG-3602",18.5544,"Low"
"TCGA-AG-3605",10.556,"Low"
"TCGA-AG-3608",20.7566,"Low"
"TCGA-AG-3609",20.792,"Low"
"TCGA-AG-3611",11.7696,"Low"
"TCGA-AG-3612",21.4211,"Low"
"TCGA-AG-3725",24.355,"Low"
"TCGA-AG-3726",8.7265,"Low"
"TCGA-AG-3727",11.0825,"Low"
"TCGA-AG-3728",12.7741,"Low"
"TCGA-AG-3731",37.3229,"High"
"TCGA-AG-3732",16.8003,"Low"
"TCGA-AG-3742",26.1037,"Low"
"TCGA-AG-3878",17.3983,"Low"
"TCGA-AG-3881",15.3904,"Low"
"TCGA-AG-3882",15.9638,"Low"
"TCGA-AG-3883",13.5388,"Low"
"TCGA-AG-3885",8.224,"Low"
"TCGA-AG-3887",21.9529,"Low"
"TCGA-AG-3890",17.8083,"Low"
"TCGA-AG-3892",27.4233,"High"
"TCGA-AG-3893",19.843,"Low"
"TCGA-AG-3894",34.6136,"High"
"TCGA-AG-3896",14.8814,"Low"
"TCGA-AG-3898",33.691,"High"
"TCGA-AG-3901",40.6918,"High"
"TCGA-AG-3902",18.5797,"Low"
"TCGA-AG-3909",18.2881,"Low"
"TCGA-AG-3999",15.9668,"Low"
"TCGA-AG-4001",19.2598,"Low"
"TCGA-AG-4005",17.0506,"Low"
"TCGA-AG-4007",14.6595,"Low"
"TCGA-AG-4008",23.6321,"Low"
"TCGA-AG-4015",18.0103,"Low"
"TCGA-AG-4021",34.2515,"High"
"TCGA-AG-4022",46.7229,"High"
"TCGA-AG-A002",41.9521,"High"
"TCGA-AG-A008",20.4576,"Low"
"TCGA-AG-A00C",24.1608,"Low"
"TCGA-AG-A00H",15.5305,"Low"
"TCGA-AG-A00Y",10.9826,"Low"
"TCGA-AG-A011",17.5631,"Low"
"TCGA-AG-A014",10.604,"Low"
"TCGA-AG-A015",23.5857,"Low"
"TCGA-AG-A016",17.0016,"Low"
"TCGA-AG-A01J",10.9446,"Low"
"TCGA-AG-A01L",14.5507,"Low"
"TCGA-AG-A01N",7.4315,"Low"
"TCGA-AG-A01W",22.1398,"Low"
"TCGA-AG-A01Y",20.8906,"Low"
"TCGA-AG-A020",19.7278,"Low"
"TCGA-AG-A023",10.7019,"Low"
"TCGA-AG-A025",17.2087,"Low"
"TCGA-AG-A026",16.9491,"Low"
"TCGA-AG-A02G",10.3652,"Low"
"TCGA-AG-A02N",30.0227,"High"
"TCGA-AG-A02X",8.4236,"Low"
"TCGA-AG-A032",20.0362,"Low"
"TCGA-AG-A036",13.4433,"Low"
"TCGA-AH-6544",36.4119,"High"
"TCGA-AH-6547",36.364,"High"
"TCGA-AH-6549",29.8562,"High"
"TCGA-AH-6643",50.1253,"High"
"TCGA-AH-6644",16.2775,"Low"
"TCGA-AH-6897",36.568,"High"
"TCGA-AH-6903",35.6645,"High"
"TCGA-AM-5820",35.5446,"High"
"TCGA-AM-5821",29.1888,"High"
"TCGA-AU-3779",43.8889,"High"
"TCGA-AU-6004",36.3381,"High"
"TCGA-AY-4070",16.8213,"Low"
"TCGA-AY-4071",23.5491,"Low"
"TCGA-AY-5543",23.9401,"Low"
"TCGA-AY-6196",46.4008,"High"
"TCGA-AY-6197",35.5131,"High"
"TCGA-AY-6386",37.3527,"High"
"TCGA-AY-A54L",42.088,"High"
"TCGA-AY-A69D",22.1739,"Low"
"TCGA-AY-A71X",14.5159,"Low"
"TCGA-AY-A8YK",18.5521,"Low"
"TCGA-AZ-4308",12.4656,"Low"
"TCGA-AZ-4313",22.5288,"Low"
"TCGA-AZ-4315",29.5177,"High"
"TCGA-AZ-4323",16.8658,"Low"
"TCGA-AZ-4614",11.1314,"Low"
"TCGA-AZ-4615",67.8247,"High"
"TCGA-AZ-4616",22.0996,"Low"
"TCGA-AZ-4681",13.5596,"Low"
"TCGA-AZ-4682",16.5411,"Low"
"TCGA-AZ-4684",30.5305,"High"
"TCGA-AZ-5403",28.1626,"High"
"TCGA-AZ-5407",44.7799,"High"
"TCGA-AZ-6598",36.1593,"High"
"TCGA-AZ-6599",34.3452,"High"
"TCGA-AZ-6600",27.6601,"High"
"TCGA-AZ-6601",36.8625,"High"
"TCGA-AZ-6603",26.5876,"High"
"TCGA-AZ-6605",25.2948,"Low"
"TCGA-AZ-6606",13.7554,"Low"
"TCGA-AZ-6607",55.1575,"High"
"TCGA-AZ-6608",6.5942,"Low"
"TCGA-BM-6198",14.0217,"Low"
"TCGA-CA-5254",48.3866,"High"
"TCGA-CA-5255",47.0124,"High"
"TCGA-CA-5256",54.9373,"High"
"TCGA-CA-5796",51.09,"High"
"TCGA-CA-5797",19.8088,"Low"
"TCGA-CA-6715",22.279,"Low"
"TCGA-CA-6716",43.968,"High"
"TCGA-CA-6717",43.8441,"High"
"TCGA-CA-6718",42.4532,"High"
"TCGA-CA-6719",24.1884,"Low"
"TCGA-CI-6619",29.2313,"High"
"TCGA-CI-6620",37.1148,"High"
"TCGA-CI-6621",25.1675,"Low"
"TCGA-CI-6622",30.7656,"High"
"TCGA-CI-6623",50.604,"High"
"TCGA-CI-6624",23.7228,"Low"
"TCGA-CK-4947",40.4137,"High"
"TCGA-CK-4948",17.2067,"Low"
"TCGA-CK-4950",21.9225,"Low"
"TCGA-CK-4951",32.0629,"High"
"TCGA-CK-4952",14.5077,"Low"
"TCGA-CK-5912",32.7695,"High"
"TCGA-CK-5913",46.2448,"High"
"TCGA-CK-5914",29.6268,"High"
"TCGA-CK-5915",43.7388,"High"
"TCGA-CK-5916",43.1012,"High"
"TCGA-CK-6746",48.6307,"High"
"TCGA-CK-6747",29.7031,"High"
"TCGA-CK-6748",45.3412,"High"
"TCGA-CK-6751",24.9688,"Low"
"TCGA-CL-4957",14.0629,"Low"
"TCGA-CL-5917",16.4182,"Low"
"TCGA-CL-5918",30.8472,"High"
"TCGA-CM-4743",18.3297,"Low"
"TCGA-CM-4744",25.6056,"Low"
"TCGA-CM-4746",36.9189,"High"
"TCGA-CM-4747",15.0828,"Low"
"TCGA-CM-4748",20.6472,"Low"
"TCGA-CM-4750",27.5701,"High"
"TCGA-CM-4751",19.2846,"Low"
"TCGA-CM-4752",19.3894,"Low"
"TCGA-CM-5341",63.7051,"High"
"TCGA-CM-5344",12.6028,"Low"
"TCGA-CM-5348",38.8621,"High"
"TCGA-CM-5349",17.3647,"Low"
"TCGA-CM-5860",26.8687,"High"
"TCGA-CM-5861",45.2768,"High"
"TCGA-CM-5862",20.1172,"Low"
"TCGA-CM-5863",36.4438,"High"
"TCGA-CM-5864",45.9212,"High"
"TCGA-CM-5868",15.747,"Low"
"TCGA-CM-6161",59.5337,"High"
"TCGA-CM-6162",60.2432,"High"
"TCGA-CM-6163",27.314,"High"
"TCGA-CM-6164",39.5595,"High"
"TCGA-CM-6165",49.8618,"High"
"TCGA-CM-6166",16.3681,"Low"
"TCGA-CM-6167",55.8433,"High"
"TCGA-CM-6168",58.5207,"High"
"TCGA-CM-6169",40.8778,"High"
"TCGA-CM-6170",26.0258,"Low"
"TCGA-CM-6171",46.2309,"High"
"TCGA-CM-6172",27.7943,"High"
"TCGA-CM-6674",32.251,"High"
"TCGA-CM-6675",27.4205,"High"
"TCGA-CM-6676",28.1833,"High"
"TCGA-CM-6677",44.5297,"High"
"TCGA-CM-6678",33.4067,"High"
"TCGA-CM-6679",22.3508,"Low"
"TCGA-CM-6680",33.0035,"High"
"TCGA-D5-5537",33.0783,"High"
"TCGA-D5-5538",37.1559,"High"
"TCGA-D5-5539",19.7404,"Low"
"TCGA-D5-5540",20.432,"Low"
"TCGA-D5-5541",35.4838,"High"
"TCGA-D5-6529",40.7274,"High"
"TCGA-D5-6530",33.6681,"High"
"TCGA-D5-6531",24.9927,"Low"
"TCGA-D5-6532",42.9968,"High"
"TCGA-D5-6533",30.2568,"High"
"TCGA-D5-6534",40.87,"High"
"TCGA-D5-6535",19.0896,"Low"
"TCGA-D5-6536",24.7399,"Low"
"TCGA-D5-6537",42.207,"High"
"TCGA-D5-6538",43.8577,"High"
"TCGA-D5-6539",29.8647,"High"
"TCGA-D5-6540",31.898,"High"
"TCGA-D5-6541",29.9756,"High"
"TCGA-D5-6898",38.8179,"High"
"TCGA-D5-6920",28.2715,"High"
"TCGA-D5-6922",24.0539,"Low"
"TCGA-D5-6923",19.1278,"Low"
"TCGA-D5-6924",49.2299,"High"
"TCGA-D5-6926",29.8555,"High"
"TCGA-D5-6927",37.8202,"High"
"TCGA-D5-6928",45.488,"High"
"TCGA-D5-6929",25.8935,"Low"
"TCGA-D5-6930",28.3922,"High"
"TCGA-D5-6931",36.6467,"High"
"TCGA-D5-6932",17.6055,"Low"
"TCGA-D5-7000",35.6528,"High"
"TCGA-DC-4745",18.0347,"Low"
"TCGA-DC-4749",24.3365,"Low"
"TCGA-DC-5337",45.6982,"High"
"TCGA-DC-5869",36.6864,"High"
"TCGA-DC-6154",28.3621,"High"
"TCGA-DC-6155",5.0491,"Low"
"TCGA-DC-6156",58.091,"High"
"TCGA-DC-6157",19.9476,"Low"
"TCGA-DC-6158",29.8203,"High"
"TCGA-DC-6160",44.8047,"High"
"TCGA-DC-6681",27.0218,"High"
"TCGA-DC-6682",12.7488,"Low"
"TCGA-DC-6683",20.4516,"Low"
"TCGA-DM-A0X9",35.8735,"High"
"TCGA-DM-A0XD",13.2316,"Low"
"TCGA-DM-A0XF",13.9599,"Low"
"TCGA-DM-A1D0",11.7776,"Low"
"TCGA-DM-A1D4",18.6624,"Low"
"TCGA-DM-A1D6",12.8139,"Low"
"TCGA-DM-A1D7",24.4639,"Low"
"TCGA-DM-A1D8",20.543,"Low"
"TCGA-DM-A1D9",17.4692,"Low"
"TCGA-DM-A1DA",25.3932,"Low"
"TCGA-DM-A1DB",15.9094,"Low"
"TCGA-DM-A1HA",14.3178,"Low"
"TCGA-DM-A1HB",16.1004,"Low"
"TCGA-DM-A280",20.1102,"Low"
"TCGA-DM-A282",20.2289,"Low"
"TCGA-DM-A285",18.6453,"Low"
"TCGA-DM-A288",23.9802,"Low"
"TCGA-DM-A28A",18.0314,"Low"
"TCGA-DM-A28C",27.893,"High"
"TCGA-DM-A28E",32.4676,"High"
"TCGA-DM-A28F",17.0727,"Low"
"TCGA-DM-A28G",16.6322,"Low"
"TCGA-DM-A28H",11.7515,"Low"
"TCGA-DM-A28K",29.7438,"High"
"TCGA-DM-A28M",20.3381,"Low"
"TCGA-DT-5265",25.9534,"Low"
"TCGA-DY-A0XA",18.7452,"Low"
"TCGA-DY-A1DC",10.5384,"Low"
"TCGA-DY-A1DD",11.6868,"Low"
"TCGA-DY-A1DE",18.969,"Low"
"TCGA-DY-A1DF",8.1128,"Low"
"TCGA-DY-A1DG",19.0426,"Low"
"TCGA-DY-A1H8",7.0666,"Low"
"TCGA-EF-5830",21.7338,"Low"
"TCGA-EF-5831",18.4771,"Low"
"TCGA-EI-6506",33.8842,"High"
"TCGA-EI-6507",41.7336,"High"
"TCGA-EI-6508",36.305,"High"
"TCGA-EI-6509",29.8973,"High"
"TCGA-EI-6510",31.3799,"High"
"TCGA-EI-6511",18.936,"Low"
"TCGA-EI-6512",20.5799,"Low"
"TCGA-EI-6513",18.1808,"Low"
"TCGA-EI-6514",28.0629,"High"
"TCGA-EI-6881",35.9491,"High"
"TCGA-EI-6882",44.8568,"High"
"TCGA-EI-6883",22.6427,"Low"
"TCGA-EI-6884",36.2329,"High"
"TCGA-EI-6885",38.444,"High"
"TCGA-EI-6917",46.153,"High"
"TCGA-EI-7002",20.4056,"Low"
"TCGA-EI-7004",40.5485,"High"
"TCGA-F4-6459",30.6204,"High"
"TCGA-F4-6460",23.8761,"Low"
"TCGA-F4-6461",12.2309,"Low"
"TCGA-F4-6463",21.5947,"Low"
"TCGA-F4-6569",47.7679,"High"
"TCGA-F4-6570",54.6347,"High"
"TCGA-F4-6703",45.9093,"High"
"TCGA-F4-6704",24.8977,"Low"
"TCGA-F4-6805",28.6667,"High"
"TCGA-F4-6806",27.6594,"High"
"TCGA-F4-6807",44.4132,"High"
"TCGA-F4-6808",28.3497,"High"
"TCGA-F4-6809",19.8402,"Low"
"TCGA-F4-6854",21.7068,"Low"
"TCGA-F4-6855",42.52,"High"
"TCGA-F4-6856",40.1731,"High"
"TCGA-F5-6464",37.6523,"High"
"TCGA-F5-6465",45.1281,"High"
"TCGA-F5-6571",26.659,"High"
"TCGA-F5-6702",20.5295,"Low"
"TCGA-F5-6810",21.5841,"Low"
"TCGA-F5-6811",44.0202,"High"
"TCGA-F5-6812",26.5877,"High"
"TCGA-F5-6813",22.6701,"Low"
"TCGA-F5-6814",34.9334,"High"
"TCGA-F5-6861",32.955,"High"
"TCGA-F5-6863",21.3975,"Low"
"TCGA-F5-6864",29.5428,"High"
"TCGA-G4-6293",28.3275,"High"
"TCGA-G4-6294",30.6594,"High"
"TCGA-G4-6295",17.9707,"Low"
"TCGA-G4-6297",39.2214,"High"
"TCGA-G4-6298",16.6471,"Low"
"TCGA-G4-6299",21.5989,"Low"
"TCGA-G4-6302",47.5567,"High"
"TCGA-G4-6303",21.9038,"Low"
"TCGA-G4-6304",36.4395,"High"
"TCGA-G4-6306",10.389,"Low"
"TCGA-G4-6307",16.3823,"Low"
"TCGA-G4-6309",28.9248,"High"
"TCGA-G4-6310",35.4149,"High"
"TCGA-G4-6311",22.762,"Low"
"TCGA-G4-6314",18.8596,"Low"
"TCGA-G4-6315",27.0123,"High"
"TCGA-G4-6317",14.5903,"Low"
"TCGA-G4-6320",26.1375,"High"
"TCGA-G4-6321",24.4448,"Low"
"TCGA-G4-6322",31.6543,"High"
"TCGA-G4-6323",25.3918,"Low"
"TCGA-G4-6586",14.9612,"Low"
"TCGA-G4-6588",27.861,"High"
"TCGA-G4-6625",31.5714,"High"
"TCGA-G4-6626",8.6004,"Low"
"TCGA-G4-6627",37.9901,"High"
"TCGA-G4-6628",34.4306,"High"
"TCGA-G5-6233",19.6827,"Low"
"TCGA-G5-6235",47.5878,"High"
"TCGA-G5-6572",55.7324,"High"
"TCGA-G5-6641",21.6816,"Low"
"TCGA-NH-A50T",33.5621,"High"
"TCGA-NH-A50U",15.2697,"Low"
"TCGA-NH-A50V",16.7748,"Low"
"TCGA-NH-A5IV",42.0539,"High"
"TCGA-NH-A6GA",23.1599,"Low"
"TCGA-NH-A6GB",13.031,"Low"
"TCGA-NH-A6GC",19.5353,"Low"
"TCGA-NH-A8F7",27.4447,"High"
"TCGA-NH-A8F8",17.1838,"Low"
"TCGA-QG-A5YV",30.3712,"High"
"TCGA-QG-A5YW",32.1325,"High"
"TCGA-QG-A5YX",50.6046,"High"
"TCGA-QG-A5Z1",22.2494,"Low"
"TCGA-QG-A5Z2",32.9526,"High"
"TCGA-QL-A97D",26.3691,"High"
"TCGA-RU-A8FL",7.9847,"Low"
"TCGA-SS-A7HO",30.8453,"High"
"TCGA-T9-A92H",35.5183,"High"
"TCGA-WS-AB45",57.0478,"High"
